,dice,RVE,Sens,Spec,HD95
Liverarterial_001.nii.gz,0.7063705714924834,0.765046009640115,0.0,0.9999208826769734,6.146264
Liverarterial_002.nii.gz,1.4224206614010182,0.774506111039521,0.0,0.9999378518649134,9.0
Liverarterial_003.nii.gz,0.6341382181515465,0.913712011577424,0.0,0.9999999602613878,3.1462643
Liverarterial_004.nii.gz,0.28994307400380853,0.9576740506329114,0.0,0.9999994902512999,6.146264
Liverarterial_005.nii.gz,1.1754586191568857,0.5631567136759197,0.0,0.9997055946241767,19.70261
Liverarterial_006.nii.gz,0.5265438041534872,0.8452773256044785,0.0,0.9999956413974723,8.974691
Liverarterial_007.nii.gz,1.3742419834861797,0.7858619171780795,0.0,0.9978533756599866,47.0
Liverarterial_008.nii.gz,0.2055865921788153,0.9736238532110092,0.0,1.0,195.3636
Liverarterial_009.nii.gz,1.819505094614232e-14,1.0,0.0,1.0,10000000000.0
Liverarterial_010.nii.gz,0.7555913113435258,0.7668650793650794,0.0,0.9999999318687105,2.828427
Liverarterial_011.nii.gz,0.8401190543044873,0.7322369357824292,0.0,0.9999974945073038,5.8284273
Liverarterial_012.nii.gz,0.8595815551160614,0.691500953418687,0.0,0.9999431588415744,7.9746914
Liverarterial_013.nii.gz,0.48726603252532236,0.9279605263157895,0.0,0.9999991922806936,5.146264
Liverarterial_014.nii.gz,0.2556473829201512,0.964041095890411,0.0,0.9999998296984743,3.732051
Liverarterial_015.nii.gz,0.7873956247402434,0.8879411764705882,0.0,0.9999990784789063,79.52956
Liverarterial_016.nii.gz,0.16948345631993042,0.9783560311284046,0.0,1.0,5.8284273
Liverarterial_017.nii.gz,0.6860786397449589,0.7829798241076048,0.0,0.9999993526551083,3.4641016
Liverarterial_018.nii.gz,0.3617161716171758,0.9000484027105518,0.0,0.9999999205206154,5.4142137
Liverarterial_019.nii.gz,0.06638194020745496,0.991260462826194,0.0,0.9999999046264106,24.413479
Liverarterial_020.nii.gz,0.5098754917467676,0.6473008558262014,0.34485407066052226,0.9999978741682423,7.196152
Liverarterial_021.nii.gz,0.45844875346262265,0.8692247454972593,0.0,0.9999999468091171,3.4142137
Liverarterial_022.nii.gz,0.5648949320148376,0.5895685021066396,0.39837280255702456,0.9999983207810367,8.2426405
Liverarterial_023.nii.gz,0.028157997653538203,0.9964678178963893,0.0,1.0,12.828426
Liverarterial_024.nii.gz,0.821262445221085,0.7356421101732843,0.0,0.9999693156806228,9.0
Liverarterial_025.nii.gz,0.5351898183400439,0.8416078629032258,0.0,0.9999982829530562,6.5604777
Liverarterial_026.nii.gz,1.0312879218608124,0.6353413933666852,0.0,0.9999775872130738,7.146264
Liverarterial_027.nii.gz,0.6726674744677197,0.7914225941422595,0.0,0.9999985259360682,4.146264
